id,key,value,type
51835269,parking:condition:right:maxstay,2 h,way
51835269,parking:condition:right:time_interval,Mo-Fr 07:00-19:00; Sa 08:00-12:00,way
51835269,parking:lane:left,no_stopping,way
51835269,parking:lane:right,marked,way
51835269,sidewalk,both,way
51835269,surface,asphalt,way
51965767,highway,primary,way
51965767,lanes,1,way
51965767,maxspeed,60,way
51965767,name,Rua Werner Duwe,way
51965767,note,classificada cfe plano diretor,way
51965767,old_ref,SC-418,way
51965767,oneway,yes,way
51965767,ref,SC-421,way
51965767,source:highway,schema_br2013,way
51965767,surface,asphalt,way
51966897,highway,primary,way
51966897,maxspeed,80,way
51966897,name,Rua Werner Duwe,way
51966897,note,classificada cfe plano diretor,way
51966897,old_ref,SC-418,way
51966897,ref,SC-421,way
51966897,source:highway,schema_br2013,way
51966897,surface,asphalt,way
51966902,highway,tertiary,way
51966902,maxspeed,50,way
51966902,name,Rua Johann Karsten,way
51966902,note,classificada cfe plano diretor,way
51966902,source:highway,schema_br2013,way
51966902,surface,asphalt,way
51966903,highway,residential,way
51966903,maxspeed,40,way
51966903,name,Rua Augusto Radunz,way
51966903,surface,compacted,way
51968507,highway,tertiary,way
51968507,name,Travessa Kühlewein,way
51968507,oneway,no,way
51968507,surface,asphalt,way
51968712,destination,Pomerode,way
51968712,highway,primary_link,way
51968712,lanes,2,way
51968712,oneway,yes,way
51968712,surface,asphalt,way
51968712,turn:lanes,left|through,way
51968713,IBGE:CD_ADMINIS,federal,way
51968713,highway,primary,way
51968713,lanes,1,way
51968713,maxspeed,50,way
51968713,name,Rodovia Ingo Hering,way
51968713,note,classificada cfe plano diretor,way
51968713,oneway,yes,way
51968713,operator,DNIT,way
51968713,operator:type,public,way
51968713,ref,BR-470,way
51968713,source:highway,schema_br2013,way
51968713,source:name,Lei 9128/1995,way
51968713,surface,asphalt,way
52014872,bridge,yes,way
52014872,bridge:name,Ponte Gerhard Neufert,way
52014872,bus:lanes,yes|yes|designated,way
52014872,busway:right,lane,way
52014872,highway,primary,way
52014872,lanes,3,way
52014872,lanes:bus,1,way
52014872,layer,1,way
52014872,maxspeed,50,way
52014872,name,Avenida Martin Luther,way
52014872,note,classificada cfe plano diretor,way
52014872,oneway,yes,way
52014872,parking:lane:both,no_stopping,way
52014872,sidewalk,both,way
52014872,source:highway,schema_br2013,way
52014872,surface,asphalt,way
52014874,destination,3o. Batalhão de Bombeiros;Velha,way
52014874,highway,secondary,way
52014874,lanes,2,way
52014874,maxspeed,50,way
52014874,name,Rua Heinrich Hosang,way
52014874,note,classificada cfe plano diretor,way
52014874,oneway,yes,way
52014874,parking:lane:both,no_stopping,way
52014874,sidewalk,right,way
52014874,surface,asphalt,way
52014876,destination,Velha,way
52014876,highway,secondary,way
52014876,lanes,2,way
52014876,maxspeed,50,way
52014876,name,Rua Almirante Tamandaré,way
52014876,note,classificada cfe plano diretor,way
52014876,oneway,yes,way
52014876,parking:lane:both,no_stopping,way
52014876,sidewalk,no,way
52014876,source:highway,schema_br2013,way
52014876,surface,asphalt,way
52014877,highway,tertiary,way
52014877,lanes,1,way
52014877,maxspeed,50,way
52014877,name,Rua Alberto Stein,way
52014877,note,classificada cfe plano diretor,way
52014877,oneway,yes,way
52014877,parking:lane:both,no_stopping,way
52014877,surface,asphalt,way
52014878,highway,primary,way
52014878,lanes,2,way
52014878,maxspeed,50,way
52014878,name,Rua Humberto de Campos,way
52014878,note,classificada cfe plano diretor,way
52014878,oneway,yes,way
52014878,parking:lane:both,no_stopping,way
52014878,sidewalk,right,way
52014878,source:highway,schema_br2013,way
52014878,surface,asphalt,way
52014879,highway,tertiary,way
52014879,lanes,2,way
52014879,maxspeed,50,way
52014879,name,Rua Alberto Stein,way
52014879,note,classificada cfe plano diretor,way
52014879,oneway,yes,way
52014879,parking:condition:left,free,way
52014879,parking:lane:left,parallel,way
52014879,sidewalk,right,way
52014879,surface,sett,way
52014882,highway,primary_link,way
52014882,lanes,1,way
52014882,maxspeed,50,way
52014882,note,classificada cfe plano diretor,way
52014882,oneway,yes,way
